NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06375811,Pre-IVF Treatment With a GnRH Antagonist in Women With endometriosis_temp,https://clinicaltrials.gov/study/NCT06375811,PREGnant,RECRUITING,"A Phase 3 clinical trial of oral GnRH antagonist pre-treatment for women with endometriosis who are undergoing IVF, with a primary outcome of live birth rate. The investigators' central hypothesis is that in infertile woman with endometriosis undergoing in vitro fertilization-embryo transfer (IVF-ET), live birth rates will improve in those pretreated with GnRH antagonist compared to those not pretreated with GnRH antagonist.",NO,Infertility|Endometriosis,DRUG: Elagolix 200 MG|OTHER: Placebo or SOC IVF,"Live birth rate, Live birth rate per participant is defined as live birth at ≥24 weeks of gestation., Up to 15 months","Fertilization rate, Fertilization rate per participant is defined as the rate of \[two pronuclei (2PN)\]/\[total number of oocytes injected or inseminated\], Up to 9 months|Number of embryos transferred, Number of embryos transferred per participant, Up to 9 months|Implantation rate, Implantation rate per participant is defined as the rate of (number of gestation sacs visible by Ultrasound) / (Number of Embryo Transfer),, Up to 9 months|Biochemical pregnancy rate, Biochemical pregnancy rate per participant is defined as positive pregnancy test following embryo transfer, Up to 9 months|Clinical pregnancy rate, Clinical pregnancy rate per participant is defined as ultrasound evidence of intrauterine gestational sac with fetal cardiac activity, Up to 10 months|Miscarriage rate, Miscarriage rate among those who achieved pregnancy. Miscarriage is defined as pregnancy loss prior to viability scan and including those confirmed on ultrasound scan up to ≤23+6 weeks of gestation gestation., Up to 10 months|Overall pregnancy complication rate, Overall pregnancy complication rate among those who achieved pregnancy. Overall pregnancy complication including any of the following: preterm delivery, preeclampsia, incidence of abnormal placentation (placenta previa, accreta, increta, percreta, abruption), bleeding in pregnancy (antepartum or postpartum), Up to 15 months|Gestation age at delivery, Gestation age (weeks) at delivery per infant delivered, Up to 15 months|Infant birth weight, Infant birth weight (gram) per infant delivered., Up to 15 months",,Yale University,"University of Colorado, Denver|Northwestern University|University of North Carolina|Duke University|Johns Hopkins University",FEMALE,ADULT,PHASE3,288,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2000027121_temp,2024-03-16,2026-06-30,2026-06-30,2024-04-19,,2024-04-23,"University of Colorado Department of Obstetrics & Gynecology, Aurora, Colorado, 80045, United States|Yale School of Medicine Dept.of Ob/Gyn & Reproductive Sciences, New Haven, Connecticut, 06520, United States|Northwestern University Department of Obstetrics and Gynecology, Chicago, Illinois, 60611, United States|Johns Hopkins, Division of Reproductive Science and Women's Health Research, Baltimore, Maryland, 21205, United States|Duke Fertility, Morrisville, North Carolina, 27560, United States",
NCT03138954,Endoscopic Rectal UltraSound With Elastosonography and Contrast in Deep Pelvic Endometriosis With Bowel Involvement,https://clinicaltrials.gov/study/NCT03138954,,COMPLETED,The aim of the study will be to determine the diagnostic and prognostic value of elastosonography and the use of the contrast agent (Sonovue®) in the endoscopic ultrasound exploration of deep pelvic endometriosis.,NO,"Endometriosis, Rectum",,"Relevance of endoscopic elastosonography for description and characterization of digestive endometriosis lesions, using a ratio of elastonography., Calculate the average of the endoscopic elastosonography ratios in order to establish the hardness of the endometriosic tissues invading the digestive tract. For each lesion, a ratio of elastosonography will be calculated, averaging three elastometric measurements taken during the examination., 36 months|Relevance of EUS contrast for description and characterization of digestive endometriosis lesions., Determine the contrast agent intake, intensity, start time, and washout time, depending on the location, and the extent of the endometriosis lesion to the digestive tract. Using a scale of intensity of contrast intake (Weak, Moderate, Intense), 36 months","Correlation between elastosonography and EUS contrast for clinical criteria using visual analog scale of pain., The first clinical criteria will be based on each patient's pain, using visual analog scale of pain, from the data collected from each patient by completing a questionnaire during the interview., 36 months|Correlation between elastosonography and EUS contrast for clinical criteria using , description of symptoms., The second clinical criteria will be based on each patient's, type of symptoms. Using the data collected from each patient by completing a questionnaire during the interview., 36 months|Correlation between elastosonography and EUS contrast for clinical criteria using scale of analgesic used., The third clinical criteria will be based on different types of drug therapy used for the pain. Using the data collected from each patient by completing a questionnaire during the interview., 36 months|Correlation between elastosonography and EUS contrast for histological criteria., The histological criteria will be established, after anatomopathological analysis of the operative part, on the hardness of the lesions, and their vascularization., 36 months|Surgical criteria, The surgical criteria will be based on the type of surgery, its difficulty, and its possible complications according to Clavien d'Indo's classification., 36 months|Establish the safety of use of elastosonography and the endoscopy rectal ultrasound using contrast., The safety of use of the elastosonography and the endoscopy rectal ultrasound using contrast will be established after statistical analysis of possible side effects attributable to the procedure.Number of participants with medical procedure -related adverse events as assessed by CTCAE v4.0, 36 months",,Société Française d'Endoscopie Digestive,,FEMALE,"ADULT, OLDER_ADULT",,50,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,EEE2018,2015-05-21,2018-01,2018-01,2017-05-03,,2019-09-20,"Hôpital L'Archet 2, Nice, 06202, France",
NCT02102529,Survey: Clinical Outcome After Bowel Resection in Women Due to Endometriosis,https://clinicaltrials.gov/study/NCT02102529,,COMPLETED,"Endometriosis is one of the most frequent benign diseases that can affect women in their reproductive age. In severe form, the colon or rectum may be involved. It has been shown that the surgical treatment improve typical symptoms like pain and dyspareunia. The investigators evaluated the functional results and quality of life after laparoscopic colonic resection for endometriosis",NO,Bowel Endometriosis,PROCEDURE: laparoscopic colonic surgery,"visual analog scala for pain, comparison of pain before and after the operation (one year later), value 0 til 10; 0= no pain, 10= strong pain, one year after the operation","dyspareunia, comparison of dyspareunia before and one year after the operation, one year after the operation|dysuria, comparison of dysuria before and one year after the operation, one year after operation|obstipation, comparison of obstipation before and one year after the operation, one year after operation|pain during defecation, comparison of pain during defecation before and one year after the operation, one year after operation|rectal bleeding, comparison of rectal bleeding during menstruation before and one year after the operation, one year after operation",,Kepler University Hospital,,FEMALE,ADULT,,30,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,ENCO-014|ENCO-014,2014-04,2016-08,2019-12,2014-04-03,,2023-10-10,"2nd Surgical Department, Academic Teaching Hospital, AKH Linz, Linz, Upper Austria, 4020, Austria",
NCT02484196,Dyspareunia in Women With Endometriosis: Impact of Surgery on Sexual Health,https://clinicaltrials.gov/study/NCT02484196,,UNKNOWN,"Endometriosis is a disease that affects different areas of individual functioning, including the area of sexual life. Women with endometriosis have an impairment of desire and sexual arousal, orgasmic capacity reducted because of the pain and deep dyspareunia. The aim of the study is to evaluate the effectiveness of surgery on dyspareunia in women with endometriosis, taking into account other variables involved in determining dyspareunia: the quality of the couple relationship, anxiety and depression, body image, coping strategies and resilience.",NO,Dyspareunia|Endometriosis,BEHAVIORAL: Questionnaires,"Quality of sexual life, Cases were administered and fulfilled the questionnaires at the moment of diagnosis of endometriosis up to 4weeks; Change from baseline were evalueted 2 months after surgery",,,University of Cagliari,,ALL,ADULT,,100,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,ENDODISP14,2021-06-01,2021-09-01,2021-12,2015-06-29,,2021-02-02,,
NCT01291576,Functional Outcomes of Surgical Management of Deep Endometriosis Infiltrating the Rectum,https://clinicaltrials.gov/study/NCT01291576,ENDORE,UNKNOWN,The purpose of this study is to determine whether performing colorectal resection in deep endometriosis infiltrating the rectum is responsible for a higher rate of postoperative digestive and urinary dysfunction when compared to rectal nodules excision (conservation of the rectum).,NO,"Endometriosis, Rectum",PROCEDURE: Rectal/colorectal segmental resection|PROCEDURE: Rectal nodule excision,"Percentage of women experiencing a postoperative digestive or urinary dysfunction, At least one of following symptoms:

* major constipation (\< 1 stool/5 days) associated with defecation pain;
* increase of the stool frequency ( \>=3 stools/day);
* anal incontinence;
* de novo postoperative dysuria confirmed by urodynamic work up;
* bladder atony requiring daily catheterization., 24 months","Percentage of women experiencing postoperative pain related to endometriosis, Percentage of women presenting with dysmenorrhea, dyspareunia, chronic pelvic pain, 24 months|Percentage of women experiencing a postoperative digestive or urinary dysfunction, At least one of following symptoms:

* major constipation (\< 1 stool/5 days) associated with defecation pain;
* increase of the stool frequency ( \>=3 stools/day);
* anal incontinence;
* de novo postoperative dysuria confirmed by urodynamic work up;
* bladder atony requiring daily catheterization., 12 months|Biberoglu & Behrman score, Evaluation of endometriosis related pain using the above mentioned scale, 24 months|SF-36 quality of life scale, 24 months|The Gastrointestinal Quality of Life Index (GIQLI), 24 months|The Knowles-Eccersley-Scott-Symptom Questionnaire (KESS), 24 months|Wexner questionnaire related to anal incontinence, 24 months|percentage of women requiring endoscopic dilatation due to the stenosis of the colorectal anastomosis, 24 months|Percentage of women presenting postoperative rectal fistulae or leakage of rectal suture or colorectal anastomosis, 24 months",,"University Hospital, Rouen",,FEMALE,ADULT,NA,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2009/069/HP,2011-03,2013-09,2023-09,2011-02-08,,2017-06-14,"Service de Gynécologie et Obstétrique, CHU Jean de Flandre, Lille, 59000, France|Service de Gynécologique-Obstétricale et Reproduction Humaine, Hôpital Tenon, Université Pierre et Marie Curie Paris 6, Paris, 75020, France|Rouen University Hospital, Rouen, 76031, France",
NCT01682642,The Influence of Adjuvant Medical Treatment of Peritoneal Endometriosis on the Outcome of IVF. A Prospective Randomized Analysis.,https://clinicaltrials.gov/study/NCT01682642,,COMPLETED,In this study of endometriosis patients we compare a common treatment of surgical therapy and medical treatment for 3 months (Zoladex) with patients receiving only surgical therapy. In both cases they immediately start In Vitro Fertilization (IVF) treatment.,YES,Infertility|Endometriosis,DRUG: Zoladex,"Number of Metaphase II Cells (MII), number of MII cells retrieved, 3 weeks","Pregnancy Rate, The number of ongoing pregnancies obtained which still is the most important issue for the patients., 12 weeks|Good Embryo Quality, The development of the embryo at the time of transfer on day 3. Good quality is defined by more than 7 cells and less then 20% fragmentation on day 3., 3 days after oocyte retrieval|Number of Pro Nuclear Cell (2PN), number of 2PN, 1 day after oocyte retrieval|Number of Cryopreserved Embryos, number of blastocytes that can be cryopreserved, 1 week after oocyte retrieval|Total Follicle Stimulating Hormone (FSH) Dose, total dose of FSH needed at the end of stimulation, 3 weeks","Number of Days of Stimulation, number of days needed before follicles in the ovary are mature for oocyte retrieval, 3 weeks",AZ Jan Palfijn Gent,Onze Lieve Vrouw Hospital,FEMALE,ADULT,PHASE4,120,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2012-000784-25,2012-03,2014-10,2014-10,2012-09-11,2015-03-20,2015-03-20,"AZ Jan Palfijn, Gent, Oost-vlaanderen, 9000, Belgium",
NCT02547909,The Application of Probe-based Confocal Laser Endomicroscopy in the Diagnosis of Deep Endometriosis,https://clinicaltrials.gov/study/NCT02547909,,WITHDRAWN,"Endometriosis is defined as the presence of endometrial glands and stroma outside of the uterus.Endometriosis affects 5%-15% of women in the reproductive age. Deep endometriosis is mostly defined as a single endometrial nodule, located in the vesico-uterine fold or close to the distal 20 cm of the large bowel. Current guidelines recommends that laparoscopy with histology should be done to diagnose endometriosis. Probe-based confocal laser endomicroscopy (pCLE) has been used as a GI tract endoscopy additive tool in recent years, providing in-vivo cellular-level imaging, a concept known as ""optical biopsy"". considering the rectal bleeding that occurs in patients suffering from bowel endometriosis, usually with a normal mucosa seen at standard endoscopy (personal data), we hypothesized that there might be histological architectural changes in the vessels or the mucosa/sub mucosa in bowel endometriosis.",NO,Bowel Endometriosis,PROCEDURE: probe-based Confocal Laser Endomicroscopy|DEVICE: Cellvizio|DRUG: fluorescein 10%,"recognizing unique pCLE images for endometriosis, intraoperative",,,Dr. Ofir Harnoy MD,,FEMALE,"ADULT, OLDER_ADULT",NA,0,OTHER_GOV,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2146-15-SMC,2016-05,2017-10,2017-10,2015-09-11,,2017-10-24,"Sheba Medical Center, Ramat Gan, 52621, Israel",
NCT04942015,Honghuaruyi Wan for Endometriosis Dysmenorrhea,https://clinicaltrials.gov/study/NCT04942015,,UNKNOWN,"Endometriosis is a common gynecological disease. It is a gynecological disease caused by the growth and reproduction of the endometrium beyond the surface of the uterine tissue and organs, which causes recurrent abdominal pain, infertility and other main symptoms.

The recurrence of endometriosis and the side effects of medication have troubled clinicians and patients for a long time and the search for new drugs is going on all the time. Honghuaruyi Wan is the traditional Tibetan prescription, clinical research has proved that Honghuaruyi Wan can significantly reduce risk mouse dysmenorrhea caused by oxytocin, improve dysmenorrhea model of mice body torsion times and improve the estrogen and progestogen operator Netherlands rat pituitary estradiol and prolactin level, at the same time also can reduce the amount of TNF alpha, thus improving endometriosis dysmenorrhea.

In this study, the therapeutic effects of Honghuaruyi Wan provided by Tibet Qizheng Tibetan Medicine Co.,Ltd on secondary dysmenorrhea in patients with endometriosis was evaluated clinically. A multi-center, randomized, double-blind, placebo-controlled clinical trial was designed to provide evidence-based medical evidence for Honghuaruyi Wan in the treatment of endometriosis dysmenorrhea. In the design of this trial, the therapeutic effects and safety of Honghuaruyi Wan in the treatment of dysmenorrhea secondary to endometriosis were evaluated with Honghuaruyi Wan in the treatment group and placebo in the control group.",NO,Endometriosis|Dysmenorrhea,DRUG: Honghuaruyi Wan|DRUG: Placebo of Honghuaruyi Wan,"Visual Analogue Scale/Score (VAS), Draw a horizontal line of 10 cm on the paper. One end of the horizontal line is 0, indicating no pain.The other end is 10, which means severe pain; The part between the two ends represents different levels of pain. A higher score means a worse outcome., Baseline through 6th consecutive menstrual cycle. (One cycle = 28±7days)|Endometriosis Health Profle-5（EHP-5）, The core questionnaire contains 5 questions，every question has 5 answers：Never=0，Very few=1，Sometimes=2，Often=3，Always=4. The minimum and maximum values are between 0 to 20 and a higher value means a worse outcome., Baseline through 6th consecutive menstrual cycle. (One cycle = 28±7days)|The 5-level EQ-5D version（EQ-5D-5L）, There are 6 questions in the scale，the first 5 questions has 5 answers：No=0， A little bit=1， Moderate=2， Serious=3 Very serious=4. The minimum and maximum values are between 0 to 20 and a higher value means a worse outcome. The 6th question is about the status of the day visited. The minimum and maximum scores are between 0 to 100 and a higher value means a better outcome., Baseline through 6th consecutive menstrual cycle. (One cycle = 28±7days)","Visual Analogue Scale/Score (VAS) of the maximum non-menstrual pelvic pain, Draw a horizontal line of 10 cm on the paper. One end of the horizontal line is 0, indicating no pain.The other end is 10, which means severe pain; The part between the two ends represents different levels of pain. A higher score means a worse outcome., Baseline through 6th consecutive menstrual cycle. (One cycle = 28±7days)|The number of ibuprofen sustained-release capsules (or other NSAIDs) used, The number of ibuprofen sustained-release capsules (or other NSAIDs) used, Baseline through 6th consecutive menstrual cycle. (One cycle = 28±7days)|Number of days off for staff/students due to dysmenorrhea, Number of days off for staff/students due to dysmenorrhea, Baseline through 6th consecutive menstrual cycle. (One cycle = 28±7days)|The maximum diameter of the uterus, The diameter of the uterus will be measured by B ultrasonic, Baseline, After treatment (3rd menstrual cycle). (One cycle = 28±7days)|The maximum diameter of the cysts, The diameter of the cysts will be measured by B ultrasonic, Baseline, After treatment (3rd menstrual cycle). (One cycle = 28±7days)",,Beijing University of Chinese Medicine,,FEMALE,ADULT,PHASE4,164,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",HHRYW2021-05,2021-06-21,2022-05-31,2023-12-31,2021-06-28,,2021-06-28,,
NCT02676713,Traditional Chinese Medicine Sequential Treatment for Endometriosis Associated Infertility,https://clinicaltrials.gov/study/NCT02676713,,UNKNOWN,"Endometriosis is a common, chronic disease. 30% to 50% of women with endometriosis are infertile. There is moderate quality evidence that laparoscopic surgery to treat mild and moderate endometriosis increases live birth or ongoing pregnancy rates. There was no evidence of benefit for post-surgical hormonal suppression of endometriosis compared to surgery alone for the outcomes of pregnancy rates. Past studies have confirmed that Chinese herbal medicine can inhibit post-surgical endometriosis recurrence, increase pregnancy rate.This study evaluates the efficacy and safety of Traditional Chinese Medicine Sequential Treatment of endometriosis-associated infertility. The study objective is to confirm that clinical pregnancy rate of patients with endometriosis-associated infertility post-conservative surgery accepting Chinese medicine activating blood, dredging liver and nourishing kidney sequential treatment is higher than expectant treatment.",NO,Endometriosis|Infertility,DRUG: pre-ovulation Decoction|DRUG: post-ovulation Decoction|DRUG: pre-ovulation Decoction(placebo)|DRUG: post-ovulation Decoction(placebo),"Pregnancy rate, Pregnancy rate is defined as the proportion of participants finding pregnancy after amenorrhea and confirming serumβ-HCG positive., six menstrual cycles（each cycle is 28±7 days）","Clinical pregnancy rate (with intrauterine pregnancy sac), defined as the proportion of participants confirmed there are at least one gestational sac in uterine cavity (No matter whether there is a heart throb) by ultrasonography., at 6～8 weeks of pregnancy|Clinical pregnancy rate (with a heart throb), defined as the proportion of participants confirmed at least having one heart throb in intrauterine gestational sac by ultrasonography., at 6～8 weeks of pregnancy|Continued pregnancy rate, defined as the proportion of participants confirmed at least one live fetuses by ultrasonography., at the 12～14 weeks of pregnancy","Number of Participants With Treatment-emergent Adverse Events, Treatment-emergent Adverse Events were assessed by CTCAE v4.0., six menstrual cycles（each cycle is 28±7 days）",Guang'anmen Hospital of China Academy of Chinese Medical Sciences,"Peking Union Medical College Hospital|Beijing Hospital|Guangdong Provincial Hospital of Traditional Chinese Medicine|The First Affiliated Hospital, Guangzhou University of Traditional Chinese Medicine|The First Affiliated Hospital of Anhui University of Traditional Chinese Medicine",FEMALE,ADULT,PHASE2,204,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",GAMHospital|2014BAI10B08,2014-12,2017-05,2017-12,2016-02-08,,2016-02-19,"The First Affiliated Hospital of Anhui University of Traditional Chinese Medicine, Hefei, Anhui, 230031, China|Beijing Obstetrics and Gynecology Hospital,Captial Medical University, Beijing, Beijing, 100026, China|GAMHospital, Beijing, Beijing, 100053, China|The First Affiliated Hospital of Guangzhou University of Traditional Chinese Medicine, Guangzhou, Guangdong, 510405, China|Traditional Chinese Medicine Hospital of Guangdong Province, Guangzhou, Guangdong, China|Beijng Hospital, Beijng, 100730, China",
NCT00464139,Prevalence of Endometriosis in a Well Defined Group of Infertile Women,https://clinicaltrials.gov/study/NCT00464139,,COMPLETED,"At the Leuven University Fertility Centre (LUFC) of the Department of Obstetrics and Gynecology of the University Hospitals Leuven, Belgium, a retrospective epidemiological prevalence study based on an electronic search of patient files was performed to determine the prevalence of histologically proven endometriosis in a subset of infertile women with a regular cycle (variation 21 - 35 days), a partner with normal sperm and no previous surgical diagnosis of endometriosis.",NO,Endometriosis|Infertility,PROCEDURE: Laparoscopy,"The diagnosis of endometriosis was made by the fertility surgeon of the LUFC., 2003 - 2006","The diagnosis of endometriosis was always confirmed by histological examination., 2003 - 2006",,"University Hospital, Gasthuisberg",,FEMALE,ADULT,,221,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,EC - 20/03/2007,2007-01,2007-02,2007-02,2007-04-20,,2009-02-20,"University Hospital Gasthuisberg, Leuven, 3000, Belgium",
NCT02520505,SO+IUI After Operative Laparoscopy in Patients With Advanced Stage Endometriosis,https://clinicaltrials.gov/study/NCT02520505,,WITHDRAWN,"This is a prospective randomized control, crossover trial to determine if supraovulation with clomiphene citrate and intrauterine insemination is more efficacious than expectant management in women with stage III or IV endometriosis who have recently undergone operative laparoscopy.",NO,Endometriosis|Infertility,DRUG: Supraovulation clomiphene citrate|BEHAVIORAL: Timed intercourse|PROCEDURE: Intrauterine Insemination,"Pregnancy rates in SO+IUI versus expectant management, The primary objective of this study is to determine whether or not immediate clomiphene citrate SO+IUI is more efficacious for improving pregnancy rates in patients with stage III/IV endometriosis after operative laparoscopy as compared expectant management., Patients will participate in the study up to 6 months, starting from the first menstrual period after surgery until the completion of the second three month arm of the study.","Post-operative fecundity rates in SO+IUI versus expectant management groups, A secondary objective is to determine the post-operative fecundity rates in women with stage III/IV endometriosis as compared to the timed intercourse group., Patients will participate in the study up to 6 months, starting from the first menstrual period after surgery until the completion of the second three month arm of the study.|Patient characteristics in SO+IUI versus expectant management groups, A secondary objective is to investigate patient characteristics that may affect pregnancy outcomes., Patients will participate in the study up to 6 months, starting from the first menstrual period after surgery until the completion of the second three month arm of the study.|Time to pregnancy in SO+IUI versus expectant management groups, A secondary objective is to estimate the time to pregnancy between SO+IUI and expectant management., Patients will participate in the study up to 6 months, starting from the first menstrual period after surgery until the completion of the second three month arm of the study.|Endometriosis fertility index in SO+IUI versus expectant management groups, A secondary objective is to determine whether or not the endometriosis fertility index has an impact on outcomes between SO+IUI and expectant management., Patients will participate in the study up to 6 months, starting from the first menstrual period after surgery until the completion of the second three month arm of the study.",,The Cleveland Clinic,,FEMALE,ADULT,NA,0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,15-149,2015-04,2017-12,2017-12,2015-08-13,,2018-01-24,"Cleveland Clinic Foundation, Cleveland, Ohio, 44195, United States",
NCT01581359,The Effect of Pre-treatment With GnRH Analogues Prior in Vitro Fertilization in Patients With Endometriosis,https://clinicaltrials.gov/study/NCT01581359,ENDOFIV,COMPLETED,"The purpose of this study is to determine whether the administration of an analogue of gonadotropin-releasing hormone (GnRH) during the three months prior to the performing of an IVF may improve the response to ovarian stimulation, implantation rate and clinical pregnancy rate in patients with endometriosis/ endometriomas.",NO,Endometriosis|Infertility,DRUG: Triptorelin acetate,"Clinical pregnancy rate by started cycle, Number of pregnancies with fetal hearth beat on ultrasound exam divided by total number of started cycle, 2 weeks after biochemical diagnosis of pregnancy","Number of oocytes retrieved, total and metaphase II, In the moment of oocyte retrieval|Embryo quality, * A Class: high quality; 4 equal cells, \<11% fragmentation, display no irregularities (vacuoles and multinucleation) and normal zona pellucida.
* B Class: good quality; 2 or 5 cells and \<26% fragmentation or 4 cells and 12-25% fragmentation, same or similar size (cells even number), display no irregularities and normal zona pellucida.
* C Class: intermediate quality; no multinucleation , 3 or 6 cells with \<36% fragmentation or 2, 4 and 5 cells with 25-35% fragmentation or inequal size blastomeres or absence/low vacuoles cells or anormal zona pellucida., Two-three days after oocyte recovery and IVF|Number and size of endometrioma(s), Total number in each ovary, uni or bilateral cysts and maximum diameter (mm) of the biggest endometrioma, Day of the Basal ultrasound|Rate of pregnancy to term in patients with endometriosis / endometriomas, Number of deliveries at 37th to 41st weeks of pregnancy divided by total number of pregnancies, 37 weeks after cycle|Miscarriage rate, Number of pregnancy losses divided by total number clinical pregnancies, 22nd week of pregnancy|Rate of healthy and live births, Number of healthy and live births divided by total number of started cycle, 37th to 41st weeks of pregnancy|Fertilization rate, Number of cleavage embryos divided by total number of metaphase II oocytes, Two days after oocyte recovery and IVF|Total dose of gonadotropins and days of treatment, Total dose of gonadotropins in IU, and total days on treatment, Day of the administration of human chorionic gonadotropin (hCG)|Cancellation rate and causes, Number of cancelled cycles divided by total number or started cycles, Last day of gonadotropin treatment|Ovarian Hyperstimulation Syndrome (OHSS) incidence, Number of patients diagnosed of OHSS divided by ended cycles. Classification in mild, moderate and severe, One month after hCG",,Instituto de Investigacion Sanitaria La Fe,,FEMALE,ADULT,PHASE4,200,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",ENDOFIV-010|2010-022216-39,2012-03,2015-03,2015-05,2012-04-20,,2015-10-22,"Human Reproduction Unit of the La Fe University and Politechnic Hospital, Valencia, 46026, Spain",
NCT00675779,Efficacy Study of Atorvastatin in Pelvic Pain Relief in Women With Endometriosis,https://clinicaltrials.gov/study/NCT00675779,EndoStatin,UNKNOWN,The purpose of this study is to determine whether atorvastatin (alone or in combination with oral contraceptive) is effective in treatment of pelvic pain and inflammatory response in women with endometriosis.,NO,Endometriosis|Pain,DRUG: oral contraceptive (Mercilon)|DRUG: atorvastatin + oral contraceptive,"pain relief, 3,6,12 months","inflammatory status, 6 months",,Poznan University of Medical Sciences,"University of California, Davis|Biomet Polska Sp. z.o.o.",FEMALE,ADULT,NA,44,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,204-08,2008-04,2010-11,2011-03,2008-05-12,,2008-05-12,"Poznan University of Medical Sciences, Department of Gynecology and Obstetrics, Poznan, 60-535, Poland",
NCT06313411,How do I Perform a Laparoscopic Removal of a Pelvic Retroperitoneal Schwannoma,https://clinicaltrials.gov/study/NCT06313411,PRS,RECRUITING,"Schwannomas are mainly benign tumors, which develop mainly in the skull or in the cervical region. Retroperitoneal location is rare, since it represents between 0.5 and 5% of scwhanomas. The malignant retroperitoneal form is, however, more common than in other locations.

Retroperitoneal schwannoma is often discovered during the exploration of unexplained lumbo-pelvic pain, or in the face of compression of nearby organs. Abdominopelvic CT and magnetic resonance imaging are essential to characterize the mass and verify its extension. The precise diagnosis is based on the pathological examination of the part, and complete surgical excision is the standard treatment.

Acquiring the surgical techniques and skills necessary to carry out these types of procedures is essential to providing optimal patient care.",NO,Endometriosis Pelvic,,"laparoscopic removal of a retroperitoneal pelvic schwannoma, The aim of this research is to train surgeons to perform laparoscopic removal of a retroperitoneal pelvic schwanoma, Through study completion, an average of 1 month",,,"University Hospital, Strasbourg, France",,FEMALE,"ADULT, OLDER_ADULT",,1,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,8778,2022-11-23,2024-04,2024-04,2024-03-15,,2024-03-15,"Service de Gynécologie Obstétrique - CHU de Strasbourg - France, Strasbourg, 67091, France",
NCT00621179,Endometrial Markers and Response of Endometriosis Patients to Prolonged GnRH Agonist Prior to IVF,https://clinicaltrials.gov/study/NCT00621179,IntegrinIVF,COMPLETED,"This prospective randomized trial evaluates whether one can predict which infertile women with endometriosis who are candidates for in vitro fertilization will benefit from prolonged therapy with a GnRH agonist by the determination of the absence of endometrial expression of the integrin, alpha v, beta 3 vitronectin. This is a prospective randomized trial in which all patients will undergo endometrial biopsy prior to initiation of ovarian stimulation for in vitro fertilization and then undergo randomization to a three month course of a depot preparation of the GnRH agonist leuprolide acetate in depot suspension prior to ovarian stimulation or standard therapy. prio",YES,Endometriosis|Infertility,DRUG: Leuprolide acetate in depot suspension|OTHER: No intervention,"Patients Who Responded to Controlled Ovarian Hyperstimulation, Number of patients who responded to controlled ovarian stimulation as evidenced by implantation of embryo. Implantation confirmed by ultrasound at 6 1/2 weeks of pregnancy., Evaluated at 6 1/2 weeks of pregnancy which is 4 weeks post embryo transfer.",,,Colorado Center for Reproductive Medicine,,FEMALE,ADULT,PHASE4,37,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,IntegrinIVF,2003-03,2009-08,2010-01,2008-02-22,2020-10-05,2021-08-10,"Colorado Center for Reproductive Medicine, Lone Tree, Colorado, 80124, United States",
